Assign,name_1,name_2,name_3,name_4,name_5,LEAF_CAT_ID,LEAF_CAT_URL
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Bao Da - Ốp Lưng,Bao Da - Ốp Lưng iPad,,c28596,https://tiki.vn/bao-da-op-lung-ipad/c28596
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Bao Da - Ốp Lưng,Bao Da - Ốp Lưng Máy Tính Bảng Khác,,c28598,https://tiki.vn/bao-da-op-lung-may-tinh-bang-khac/c28598
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Dây Sạc - Dây Cáp,Dây Cáp Sạc USB Type-C,,c12294,https://tiki.vn/day-cap-sac-usb-type-c/c12294
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Dây Sạc - Dây Cáp,Dây Cáp Sạc Đa Năng,,c28458,https://tiki.vn/day-cap-sac-da-nang/c28458
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Dây Sạc - Dây Cáp,Các Loại Cáp Khác,,c3805,https://tiki.vn/cac-loai-cap-khac/c3805
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Dây Sạc - Dây Cáp,"Dây Cáp Sạc iPhone, iPad",,c5006,https://tiki.vn/day-cap-sac-iphone-ipad/c5006
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Dây Sạc - Dây Cáp,Dây Cáp Sạc Micro USB,,c5007,https://tiki.vn/day-cap-sac-micro-usb/c5007
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Miếng Dán Màn Hình,Miếng Dán Màn Hình Điện Thoại,,c28484,https://tiki.vn/mieng-dan-man-hinh-dien-thoai/c28484
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Miếng Dán Màn Hình,Miếng Dán Thiết Bị Di Động Khác,,c28486,https://tiki.vn/mieng-dan-thiet-bi-di-dong-khac/c28486
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Giá Đỡ - Chân Đế - Móc Dán,Móc Dán Đỡ Điện Thoại,,c28478,https://tiki.vn/moc-dan-do-dien-thoai/c28478
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Giá Đỡ - Chân Đế - Móc Dán,Giá Đỡ - Chân Đế Thường,,c28480,https://tiki.vn/gia-do-chan-de-thuong/c28480
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Giá Đỡ - Chân Đế - Móc Dán,"Giá Đỡ - Chân Đế Gắn Ô Tô, Xe Máy",,c28482,https://tiki.vn/gia-do-chan-de-gan-o-to-xe-may/c28482
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Dây Đeo và Phụ Kiện Trang Trí,,,c20222,https://tiki.vn/day-deo-va-phu-kien-trang-tri/c20222
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Linh Kiện Thay Thế,Màn Hình Thay Thế,,c28462,https://tiki.vn/man-hinh-thay-the/c28462
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Linh Kiện Thay Thế,Pin Thay Thế,,c28464,https://tiki.vn/pin-thay-the/c28464
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Linh Kiện Thay Thế,Vỏ - Case Thay Thế,,c28466,https://tiki.vn/vo-case-thay-the/c28466
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Linh Kiện Thay Thế,Linh Kiện Thay Thế Khác,,c28468,https://tiki.vn/linh-kien-thay-the-khac/c28468
Huy,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Túi Bảo Vệ - Túi Chống Nước,,,c20236,https://tiki.vn/tui-bao-ve-tui-chong-nuoc/c20236
